title,url,discounted_price,original_price
Hair Cutting Cloak Gown Umbrella Hair Salon Cape Hairdresser Haircut Bib Apron HKI-549496,https://www.tinydeal.com/hair-cutting-cloak-gown-umbrella-hair-salon-cape-hairdresser-haircut-bib-apron-p-175156.html,$3.71,$6.87 
Baellerry Mini Pop Up Rfid Wallet Men Slim PU Leather Business Credit Card RTH-577197,https://www.tinydeal.com/baellerry-mini-pop-up-rfid-wallet-men-slim-pu-leather-business-credit-card-p-201336.html,$6.95,$8.68 
Wireless Mouse Vertical Mouse Ergonomic Optical 2400 DPI 6 Buttons Mause ECAMS-582851,https://www.tinydeal.com/wireless-mouse-vertical-mouse-ergonomic-optical-2400-dpi-6-buttons-mause-p-200748.html,$12.57,$22.62 
SOKI Sport Watches Leather Strap Quartz Casual Business Male Wristwatches WWT-580302,https://www.tinydeal.com/soki-sport-watches-leather-strap-quartz-casual-business-male-wristwatches-p-201543.html,$3.90,$7.41 
Android Robot Shaped Micro USB to USB 2.0 Host OTG Adapter ECACR-487310,https://www.tinydeal.com/android-robot-shaped-micro-usb-to-usb-20-host-otg-adapter-p-157418.html,$1.42,$2.73 
Wireless Bluetooth 5.0 Earphone Touch Control Headphones TWS Earbuds EEP-583087,https://www.tinydeal.com/wireless-bluetooth-50-earphone-touch-control-headphones-tws-earbuds-p-201005.html,$13.15,$23.67 
Car Paint Scratches Repair Pen Brush Waterproof Paint Marker Pen Car Maintain RTH-571469,https://www.tinydeal.com/car-paint-scratches-repair-pen-brush-waterproof-paint-marker-pen-car-maintain-p-182211.html,$1.69,$4.87 
Disposable Raincoat Adult Emergency Waterproof Poncho Rain Coat EVC-581041,https://www.tinydeal.com/disposable-raincoat-adult-emergency-waterproof-poncho-rain-coat-p-201458.html,$5.30,$9.54 
1/2 pcs Mini Camera SQ11 Night Vision FOV140 1080P DV Video Recorder ECM-533708,https://www.tinydeal.com/12-pcs-mini-camera-sq11-night-vision-fov140-1080p-dv-video-recorder-p-168604.html,$7.62,$12.18 
Men Digital Watches Waterproof Mens Sport LED Men Electronic watches RTH-578709,https://www.tinydeal.com/men-digital-watches-waterproof-mens-sport-led-men-electronic-watches-p-201456.html,$5.35,$6.95 
DC 12V 45cm 45-SMD 1210 LED Flexible Waterproof Car Strip Light RLT-274929,https://www.tinydeal.com/dc-12v-45cm-45-smd-1210-led-flexible-waterproof-car-strip-light-p-118388.html,$1.28,$2.31 
Smart Bracelet Watch Fitness Bracelet Pedometer Heart Rate Monitor Waterproof E-583049,https://www.tinydeal.com/smart-bracelet-watch-fitness-bracelet-pedometer-heart-rate-monitor-waterproof-p-200803.html,$11.44,$14.87 
Light Controlled Square LED Wall Night Lamp Bedroom Night Light HLT-506114,https://www.tinydeal.com/light-controlled-square-led-wall-night-lamp-bedroom-night-light-p-158312.html,$2.32,$5.30 
90*30cm Ice Towel Instant Cooling Towel Heat Relief Reusable Chill Cool Towel HHI-549301,https://www.tinydeal.com/9030cm-ice-towel-instant-cooling-towel-heat-relief-reusable-chill-cool-towel-p-174936.html,$2.19,$2.63 
Xiaomi Mijia iHealth Thermometer LED Non Contact Digital Infrared Forehead Body RTH-575855,https://www.tinydeal.com/xiaomi-mijia-ihealth-thermometer-led-non-contact-digital-infrared-forehead-body-p-200865.html,$28.60,$37.17 
Strong Light LED Flashlight Multifunctional Outdoor Lighting USB Charging HHI-581187,https://www.tinydeal.com/strong-light-led-flashlight-multifunctional-outdoor-lighting-usb-charging-p-201407.html,$10.33,$14.97 
Mini Auto Range Digital Multimeter Tester AC DC Ammeter Voltmeter Voltage Meter RTH-573677,https://www.tinydeal.com/mini-auto-range-digital-multimeter-tester-ac-dc-ammeter-voltmeter-voltage-meter-p-201459.html,$15.10,$27.93 
P4 Smart Watch Men IP67 Waterproof 1.4 inch Full Screen Touch Long Standby E-576379,https://www.tinydeal.com/p4-smart-watch-men-ip67-waterproof-14-inch-full-screen-touch-long-standby-p-201308.html,$29.85,$32.84 
Pitch Adjustable Ultrasonic Whistle for Pet - Small Size IPA-46471,https://www.tinydeal.com/pitch-adjustable-ultrasonic-whistle-for-pet-small-size-p-37263.html,$1.54,$2.76 
Multifunction USB 2.0 M2/ TF Card Reader w/ Lanyard CCR-85173,https://www.tinydeal.com/multifunction-usb-20-m2-tf-card-reader-w-lanyard-p-57252.html,,
7.87” Silicone Folding Kitchen Strainer – Small Size HHI-548566,https://www.tinydeal.com/787”-silicone-folding-kitchen-strainer-–-small-size-p-174604.html,$4.74,$8.53 
